WARMING UP...
Loading checkpoint weights from: /DATA/Documents/ai_controlled_car/src/ai_car_control/weights/simple_train.cnn.weights.499.h5....
---> SUCCESS
MODEL BUILDED...
steering --> [[88.191475]]
steering --> [[88.3484]]
steering --> [[84.29929]]
steering --> [[82.757744]]
steering --> [[81.401505]]
steering --> [[78.995964]]
steering --> [[81.571236]]
steering --> [[84.45097]]
steering --> [[92.35126]]
steering --> [[91.97007]]
steering --> [[91.26266]]
steering --> [[88.94953]]
steering --> [[85.57025]]
steering --> [[85.05682]]
steering --> [[88.2383]]
steering --> [[87.02706]]
steering --> [[88.529015]]
steering --> [[93.54129]]
steering --> [[92.39002]]
steering --> [[91.231445]]
steering --> [[91.32242]]
steering --> [[92.162994]]
steering --> [[93.87361]]
steering --> [[94.5433]]
steering --> [[91.640625]]
steering --> [[93.46696]]
steering --> [[93.34923]]
steering --> [[96.21842]]
steering --> [[93.04945]]
steering --> [[94.767784]]
steering --> [[97.14238]]
steering --> [[101.76079]]
steering --> [[108.865166]]
steering --> [[101.82871]]
steering --> [[105.35569]]
steering --> [[106.042046]]
steering --> [[104.94101]]
steering --> [[104.508316]]
steering --> [[101.92336]]
steering --> [[92.51279]]
steering --> [[85.99606]]
steering --> [[86.07549]]
steering --> [[83.14059]]
steering --> [[82.43635]]
steering --> [[84.14808]]
steering --> [[66.73486]]
steering --> [[68.6922]]
steering --> [[88.66168]]
steering --> [[85.20042]]
steering --> [[87.92441]]
steering --> [[82.520515]]
steering --> [[79.7479]]
steering --> [[80.8742]]
steering --> [[59.59536]]
steering --> [[64.28768]]
steering --> [[70.5509]]
steering --> [[75.456535]]
steering --> [[76.22903]]
steering --> [[70.310394]]
steering --> [[68.45676]]
steering --> [[75.76359]]
steering --> [[84.71981]]
steering --> [[88.980705]]
steering --> [[89.53129]]
steering --> [[92.77885]]
steering --> [[92.2552]]
steering --> [[92.85656]]
steering --> [[96.43799]]
steering --> [[95.26478]]
steering --> [[99.83741]]
steering --> [[98.00176]]
steering --> [[91.47698]]
steering --> [[92.414085]]
steering --> [[92.97297]]
steering --> [[97.853264]]
steering --> [[91.7226]]
steering --> [[88.24596]]
steering --> [[94.513695]]
steering --> [[83.92175]]
steering --> [[79.208496]]
steering --> [[80.94666]]
steering --> [[83.87278]]
steering --> [[84.22089]]
steering --> [[83.67159]]
steering --> [[92.23907]]
steering --> [[92.815384]]
steering --> [[87.169334]]
steering --> [[78.6143]]
steering --> [[78.976234]]
steering --> [[87.31855]]
steering --> [[81.75052]]
steering --> [[76.63885]]
steering --> [[77.03699]]
steering --> [[75.488304]]
steering --> [[76.34371]]
steering --> [[79.08289]]
steering --> [[74.39359]]
steering --> [[74.0094]]
steering --> [[72.93263]]
steering --> [[69.98841]]
steering --> [[75.45231]]
steering --> [[74.05954]]
steering --> [[80.31144]]
steering --> [[86.53584]]
steering --> [[82.687454]]
steering --> [[81.996735]]
steering --> [[82.40688]]
steering --> [[89.99441]]
steering --> [[90.415016]]
steering --> [[86.772026]]
steering --> [[86.87834]]
steering --> [[93.97692]]
steering --> [[92.61345]]
steering --> [[97.79255]]
steering --> [[93.38967]]
steering --> [[96.9905]]
steering --> [[93.927475]]
steering --> [[98.47793]]
steering --> [[95.899376]]
steering --> [[90.31472]]
steering --> [[95.05839]]
steering --> [[93.82202]]
steering --> [[93.03124]]
steering --> [[91.80899]]
steering --> [[90.14762]]
steering --> [[88.58313]]
steering --> [[79.849815]]
steering --> [[75.98791]]
steering --> [[77.15269]]
steering --> [[76.38322]]
steering --> [[82.55697]]
steering --> [[84.67995]]
steering --> [[81.09947]]
steering --> [[75.17528]]
steering --> [[88.83926]]
steering --> [[90.27659]]
steering --> [[88.89307]]
steering --> [[83.29291]]
steering --> [[91.78084]]
steering --> [[86.59177]]
steering --> [[92.282326]]
steering --> [[92.87792]]
steering --> [[77.06639]]
steering --> [[78.02092]]
steering --> [[81.78438]]
steering --> [[76.37661]]
steering --> [[76.838196]]
steering --> [[74.66195]]
steering --> [[78.17561]]
steering --> [[68.84062]]
steering --> [[70.13577]]
steering --> [[67.446266]]
steering --> [[71.89473]]
steering --> [[73.74277]]
steering --> [[76.57322]]
steering --> [[69.846405]]
steering --> [[73.6942]]
steering --> [[77.83236]]
steering --> [[63.7659]]
steering --> [[69.390274]]
steering --> [[74.2402]]
steering --> [[83.20519]]
steering --> [[87.65864]]
steering --> [[90.95858]]
steering --> [[85.641754]]
steering --> [[86.29163]]
steering --> [[82.21494]]
steering --> [[98.48039]]
steering --> [[98.86678]]
steering --> [[101.06774]]
steering --> [[94.52051]]
steering --> [[93.65699]]
steering --> [[100.78437]]
steering --> [[89.712074]]
steering --> [[88.66507]]
steering --> [[84.738434]]
steering --> [[87.58078]]
steering --> [[83.73355]]
steering --> [[82.79975]]
steering --> [[82.81989]]
steering --> [[83.72293]]
steering --> [[89.641716]]
steering --> [[91.61998]]
steering --> [[95.93483]]
steering --> [[93.90316]]
steering --> [[101.83246]]
steering --> [[89.99029]]
steering --> [[93.70934]]
steering --> [[83.33517]]
steering --> [[72.32595]]
steering --> [[77.574745]]
steering --> [[78.11909]]
steering --> [[70.56075]]
steering --> [[66.85196]]
steering --> [[75.8751]]
steering --> [[89.2952]]
steering --> [[89.12674]]
steering --> [[84.43716]]
steering --> [[84.59304]]
steering --> [[83.724266]]
steering --> [[78.81878]]
steering --> [[71.787315]]
steering --> [[67.68674]]
steering --> [[77.01271]]
steering --> [[86.06712]]
steering --> [[89.471924]]
steering --> [[95.32985]]
steering --> [[97.320404]]
steering --> [[97.66938]]
steering --> [[100.20665]]
steering --> [[103.26953]]
steering --> [[101.0348]]
steering --> [[101.70559]]
steering --> [[98.93476]]
steering --> [[96.726585]]
steering --> [[98.48535]]
steering --> [[97.52704]]
steering --> [[110.84559]]
steering --> [[97.94318]]
steering --> [[98.28928]]
steering --> [[102.234116]]
steering --> [[85.55411]]
steering --> [[82.57576]]
steering --> [[73.449005]]
steering --> [[74.9343]]
steering --> [[75.79639]]
steering --> [[83.6234]]
steering --> [[92.07995]]
steering --> [[89.29741]]
steering --> [[88.9676]]
